"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs"
"Apr 10, 2018  6:00 PM",18,14,3,7,13,2,13,234,-1,2,31,18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 10, 2018  7:00 PM",18,11,3,25,16,2,13,234,-1,2,31,19,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 10, 2018  8:00 PM",11,11,3,32,12,2,13,143,-1,2,31,20,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 10, 2018  9:00 PM",8,10,3,24,11,2,13,104,-1,2,31,21,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 10, 2018 10:00 PM",0,6,1,0,0,2,13,0,-1,2,31,22,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 11, 2018  5:00 PM",1,0,0,4,0,3,10,10,-1,1,30,17,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 11, 2018  6:00 PM",7,7,4,0,11,3,10,70,-1,1,30,18,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 11, 2018  7:00 PM",10,8,4,0,11,3,10,100,-1,1,30,19,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 11, 2018  8:00 PM",15,16,5,5,10,3,10,150,-1,1,30,20,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 11, 2018  9:00 PM",5,7,3,3,8,3,10,50,-1,1,30,21,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 12, 2018  6:00 PM",11,4,2,21,19,4,10.5,115.5,-1,0,29,18,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 12, 2018  7:00 PM",10,8,2,40,8,4,10.5,105,-1,0,29,19,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 12, 2018  8:00 PM",14,6,2,44,10,4,10.5,147,-1,0,29,20,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 12, 2018  9:00 PM",2,5,1,0,5,4,10.5,21,-1,0,29,21,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 12, 2018 10:00 PM",0,1,1,0,0,4,10.5,0,-1,0,29,22,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 15, 2018  6:00 PM",21,12,3,23,13,0,16.6,348.6,3,4,26,18,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 15, 2018  7:00 PM",21,11,4,45,17,0,16.6,348.6,3,4,26,19,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 15, 2018  8:00 PM",11,7,3,74,29,0,16.6,182.6,3,4,26,20,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 15, 2018  9:00 PM",2,10,2,62,11,0,16.6,33.2,3,4,26,21,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 15, 2018 10:00 PM",0,3,1,0,13,0,16.6,0,3,4,26,22,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 16, 2018  6:00 PM",26,15,4,23,18,1,13.25,344.5,4,3,25,18,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 16, 2018  7:00 PM",12,13,4,15,17,1,13.25,159,4,3,25,19,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 16, 2018  8:00 PM",22,20,4,11,9,1,13.25,291.5,4,3,25,20,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 16, 2018  9:00 PM",16,19,4,12,9,1,13.25,212,4,3,25,21,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 16, 2018 10:00 PM",0,3,0,0,0,1,13.25,0,4,3,25,22,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 17, 2018  6:00 PM",23,7,2,43,16,2,13.5,310.5,5,2,24,18,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 17, 2018  7:00 PM",17,14,3,39,9,2,13.5,229.5,5,2,24,19,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 17, 2018  8:00 PM",17,17,4,27,11,2,13.5,229.5,5,2,24,20,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 17, 2018  9:00 PM",7,16,3,22,18,2,13.5,94.5,5,2,24,21,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 17, 2018 10:00 PM",4,5,1,45,0,2,13.5,54,5,2,24,22,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 18, 2018  6:00 PM",22,9,4,20,19,3,16,352,6,1,23,18,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 18, 2018  7:00 PM",8,13,4,16,17,3,16,128,6,1,23,19,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 18, 2018  8:00 PM",11,11,3,6,13,3,16,176,6,1,23,20,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 18, 2018  9:00 PM",5,7,3,2,15,3,16,80,6,1,23,21,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 19, 2018  6:00 PM",10,6,2,16,20,4,16.75,167.5,7,0,22,18,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 19, 2018  7:00 PM",12,5,2,54,16,4,16.75,201,7,0,22,19,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 19, 2018  8:00 PM",7,7,3,32,21,4,16.75,117.25,7,0,22,20,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 19, 2018  9:00 PM",5,10,3,6,10,4,16.75,83.75,7,0,22,21,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 22, 2018  6:00 PM",30,7,2,72,9,0,12.8,384,3,9,19,18,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 22, 2018  7:00 PM",10,7,2,107,18,0,12.8,128,3,9,19,19,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 22, 2018  8:00 PM",5,11,3,91,14,0,12.8,64,3,9,19,20,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 22, 2018  9:00 PM",0,8,2,0,19,0,12.8,0,3,9,19,21,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 22, 2018 10:00 PM",0,3,1,0,4,0,12.8,0,3,9,19,22,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 23, 2018  6:00 PM",28,13,4,18,22,1,13,364,4,8,18,18,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 23, 2018  7:00 PM",24,17,4,36,9,1,13,312,4,8,18,19,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 23, 2018  8:00 PM",22,18,4,51,11,1,13,286,4,8,18,20,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 23, 2018  9:00 PM",4,20,4,32,10,1,13,52,4,8,18,21,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 23, 2018 11:00 PM",0,1,1,0,0,1,13,0,4,8,18,23,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 24, 2018  5:00 PM",6,0,0,22,0,2,18.25,109.5,5,7,17,17,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 24, 2018  6:00 PM",22,5,3,81,19,2,18.25,401.5,5,7,17,18,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 24, 2018  7:00 PM",14,8,3,97,29,2,18.25,255.5,5,7,17,19,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 24, 2018  8:00 PM",4,14,3,103,19,2,18.25,73,5,7,17,20,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 24, 2018  9:00 PM",0,10,2,0,6,2,18.25,0,5,7,17,21,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 24, 2018 10:00 PM",0,4,1,0,0,2,18.25,0,5,7,17,22,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 25, 2018  6:00 PM",27,19,4,10,10,3,7.8,210.6,6,6,16,18,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 25, 2018  7:00 PM",18,19,4,1,9,3,7.8,140.4,6,6,16,19,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 25, 2018  8:00 PM",23,12,2,29,8,3,7.8,179.4,6,6,16,20,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 25, 2018  9:00 PM",7,13,2,61,9,3,7.8,54.6,6,6,16,21,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 25, 2018 10:00 PM",0,5,2,0,3,3,7.8,0,6,6,16,22,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 26, 2018  6:00 PM",31,3,2,104,28,4,26.75,829.25,7,5,15,18,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 26, 2018  7:00 PM",8,5,2,0,25,4,26.75,214,7,5,15,19,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 26, 2018  8:00 PM",5,6,3,0,27,4,26.75,133.75,7,5,15,20,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 26, 2018  9:00 PM",0,7,3,0,27,4,26.75,0,7,5,15,21,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 26, 2018 10:00 PM",0,1,0,0,0,4,26.75,0,7,5,15,22,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 28, 2018 12:00 PM",16,3,2,79,12,6,10.4,166.4,9,3,13,12,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 28, 2018  1:00 PM",9,3,1,147,0,6,10.4,93.6,9,3,13,13,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 28, 2018  2:00 PM",8,4,2,116,20,6,10.4,83.2,9,3,13,14,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 28, 2018  3:00 PM",4,7,4,102,5,6,10.4,41.6,9,3,13,15,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 28, 2018  4:00 PM",0,6,2,0,9,6,10.4,0,9,3,13,16,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 28, 2018  5:00 PM",0,2,1,0,6,6,10.4,0,9,3,13,17,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 29, 2018  5:00 PM",3,0,0,3,0,0,21.6,64.8,10,2,12,17,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 29, 2018  6:00 PM",27,9,3,66,37,0,21.6,583.2,10,2,12,18,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 29, 2018  7:00 PM",4,6,2,136,14,0,21.6,86.4,10,2,12,19,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 29, 2018  8:00 PM",5,5,3,67,30,0,21.6,108,10,2,12,20,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 29, 2018  9:00 PM",2,9,3,43,15,0,21.6,43.2,10,2,12,21,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 29, 2018 10:00 PM",0,5,1,0,12,0,21.6,0,10,2,12,22,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"Apr 30, 2018  7:00 PM",12,8,4,2,14,1,12.75,153,11,1,11,19,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 30, 2018  8:00 PM",10,9,3,8,21,1,12.75,127.5,11,1,11,20,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 30, 2018  9:00 PM",14,9,4,7,12,1,12.75,178.5,11,1,11,21,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"Apr 30, 2018 10:00 PM",0,3,1,0,4,1,12.75,0,11,1,11,22,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"May 1, 2018  6:00 PM",16,9,3,15,13,2,12.5,200,12,0,10,18,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 1, 2018  7:00 PM",16,11,2,35,10,2,12.5,200,12,0,10,19,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 1, 2018  8:00 PM",13,10,3,43,15,2,12.5,162.5,12,0,10,20,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 1, 2018  9:00 PM",3,13,3,43,12,2,12.5,37.5,12,0,10,21,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 1, 2018 10:00 PM",0,2,0,0,0,2,12.5,0,12,0,10,22,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"May 2, 2018  5:00 PM",2,0,0,0,0,3,100,200,1,8,9,17,5,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 2, 2018  6:00 PM",1,0,0,0,0,3,100,100,1,8,9,18,5,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"May 3, 2018  6:00 PM",17,4,2,81,26,4,24.5,416.5,2,7,8,18,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 3, 2018  7:00 PM",8,2,2,106,36,4,24.5,196,2,7,8,19,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 3, 2018  8:00 PM",8,4,2,106,26,4,24.5,196,2,7,8,20,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 3, 2018  9:00 PM",2,8,3,0,10,4,24.5,49,2,7,8,21,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 3, 2018 10:00 PM",1,1,1,0,0,4,24.5,24.5,2,7,8,22,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 3, 2018 11:00 PM",1,0,0,0,0,4,24.5,24.5,2,7,8,23,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"May 6, 2018  6:00 PM",36,3,3,124,24,0,14.8,532.8,5,4,5,18,5,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 6, 2018  7:00 PM",0,13,3,0,13,0,14.8,0,5,4,5,19,5,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 6, 2018  8:00 PM",0,4,2,0,17,0,14.8,0,5,4,5,20,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 6, 2018  9:00 PM",0,10,2,0,9,0,14.8,0,5,4,5,21,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 6, 2018 10:00 PM",0,3,1,0,11,0,14.8,0,5,4,5,22,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"May 7, 2018  6:00 PM",50,10,4,100,15,1,15,750,6,3,4,18,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 7, 2018  7:00 PM",3,8,4,149,22,1,15,45,6,3,4,19,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 7, 2018  8:00 PM",0,10,3,0,14,1,15,0,6,3,4,20,5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 7, 2018  9:00 PM",0,17,4,0,9,1,15,0,6,3,4,21,5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 7, 2018 10:00 PM",0,1,0,0,0,1,15,0,6,3,4,22,5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"May 8, 2018  6:00 PM",33,9,3,47,12,2,12.4,409.2,7,2,3,18,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 8, 2018  7:00 PM",20,9,3,69,16,2,12.4,248,7,2,3,19,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 8, 2018  8:00 PM",8,14,4,52,10,2,12.4,99.2,7,2,3,20,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 8, 2018  9:00 PM",11,10,3,48,19,2,12.4,136.4,7,2,3,21,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 8, 2018 10:00 PM",0,10,1,0,5,2,12.4,0,7,2,3,22,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,187,4.5,16.6,0.08,0.18,0.02
"May 9, 2018  6:00 PM",24,5,3,47,24,3,15.2,364.8,8,1,2,18,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 9, 2018  7:00 PM",12,11,3,92,16,3,15.2,182.4,8,1,2,19,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 9, 2018  8:00 PM",10,9,3,96,18,3,15.2,152,8,1,2,20,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
"May 9, 2018  9:00 PM",0,5,2,0,16,3,15.2,0,8,1,2,21,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,187,4.5,16.6,0.08,0.18,0.02
